id,active_ingredient,brand_name,manufacturer,therapeutic_group,pharmacological_class,drug_type,strength,dosage_form,route,indication,indication_category,side_effects,pregnancy_category,controlled_substance,otc_or_rx,food_interaction,alcohol_interaction,num_ingredients,is_combination_drug
153,Salbutamol,Salbu,Square,Bronchodilator,Beta-2 agonist,Small molecule,100 mcg/dose,Tablet,Inhalation,COPD,Respiratory,Palpitation,C,No,RX,0,0,1,0
154,Paracetamol,Ace,Incepta,Analgesic,Para-aminophenol,Small molecule,250 mg/5ml,Tablet,Oral,Pain,General,Nausea,A,No,OTC,0,1,1,0
155,Fluoxetine,Fluoxin,Eli Lilly,Antidepressant,SSRI,Small molecule,40 mg,Capsule,Oral,Depression,Neurological,Insomnia,C,No,RX,0,1,1,0
156,Insulin Glargine,Basalin,Incepta,Antidiabetic,Long-acting insulin,Biologic,100 IU/ml,Injection,Subcutaneous,Type 1 diabetes,Endocrine,Hypoglycemia,C,No,RX,1,1,1,0
157,Losartan,Losatin,Square,Antihypertensive,ARB,Small molecule,50 mg,Tablet,Oral,Hypertension,Cardiovascular,Dizziness,D,No,RX,0,1,1,0
158,Fluoxetine,Fluoxin,Square,Antidepressant,SSRI,Small molecule,10 mg,Capsule,Oral,OCD,Neurological,Insomnia,C,No,RX,0,1,1,0
159,Omeprazole,Prilosec,AstraZeneca,Antacid,Proton pump inhibitor,Small molecule,10 mg,Tablet,Oral,Peptic ulcer,Gastrointestinal,Abdominal pain,C,No,OTC,1,0,1,0
160,Azithromycin,Zimax,Pfizer,Antibiotic,Macrolide,Small molecule,250 mg,Tablet,Oral,Skin infection,Infectious,Vomiting,B,No,RX,0,0,1,0
161,Fluoxetine,Depzac,Eli Lilly,Antidepressant,SSRI,Small molecule,40 mg,Capsule,Oral,OCD,Neurological,Dizziness,C,No,RX,0,1,1,0
162,Azithromycin,Azit,Square,Antibiotic,Macrolide,Small molecule,200 mg/5ml,Syrup,Oral,Skin infection,Infectious,Abdominal pain,B,No,RX,0,0,1,0
163,Losartan,Losartan-MSD,MSD,Antihypertensive,ARB,Small molecule,100 mg,Tablet,Oral,Heart failure,Cardiovascular,Dizziness,D,No,RX,0,1,1,0
164,Ibuprofen,Brufen,Square,Analgesic,NSAID,Small molecule,600 mg,Syrup,Oral,Pain,General,Nausea,D,No,OTC,1,1,1,0
165,Fluoxetine,Flutin,Renata,Antidepressant,SSRI,Small molecule,40 mg,Tablet,Oral,Depression,Neurological,Nausea,C,No,RX,0,1,1,0
166,Amlodipine,Amcard,Pfizer,Antihypertensive,Calcium channel blocker,Small molecule,2.5 mg,Tablet,Oral,Angina,Cardiovascular,Flushing,C,No,RX,1,1,1,0
167,Metformin,Formet,ACI,Antidiabetic,Biguanide,Small molecule,850 mg,Tablet,Oral,Insulin resistance,Endocrine,Nausea,B,No,RX,1,1,1,0
168,Insulin Glargine,Toujeo,Incepta,Antidiabetic,Long-acting insulin,Biologic,300 IU/ml,Injection,Subcutaneous,Type 1 diabetes,Endocrine,Weight gain,C,No,RX,1,1,1,0
169,Insulin Glargine,Glaritus,Sanofi,Antidiabetic,Long-acting insulin,Biologic,300 IU/ml,Injection,Subcutaneous,Type 2 diabetes,Endocrine,Hypoglycemia,C,No,RX,1,1,1,0
170,Cetirizine,Zyrtec,ACI,Antihistamine,H1 antagonist,Small molecule,10 mg,Syrup,Oral,Allergic rhinitis,General,Fatigue,B,No,OTC,0,1,1,0
171,Ibuprofen,Profen,Square,Analgesic,NSAID,Small molecule,600 mg,Capsule,Oral,Fever,General,Nausea,D,No,OTC,1,1,1,0
172,Ibuprofen,Brufen,Square,Analgesic,NSAID,Small molecule,200 mg,Syrup,Oral,Pain,General,Gastric irritation,D,No,OTC,1,1,1,0
173,Salbutamol,Brodil,ACI,Bronchodilator,Beta-2 agonist,Small molecule,4 mg,Inhaler,Oral,Bronchospasm,Respiratory,Palpitation,C,No,RX,0,0,1,0
174,Ibuprofen,Profen,Square,Analgesic,NSAID,Small molecule,600 mg,Tablet,Oral,Fever,General,Headache,D,No,OTC,1,1,1,0
175,Cetirizine,Zyrtec,Square,Antihistamine,H1 antagonist,Small molecule,10 mg,Capsule,Oral,Allergic rhinitis,General,Drowsiness,B,No,OTC,0,1,1,0
176,Lisinopril,Listril,Merck,Antihypertensive,ACE inhibitor,Small molecule,20 mg,Tablet,Oral,Hypertension,Cardiovascular,Dry cough,D,No,RX,0,1,1,0
177,Paracetamol,Napa,Incepta,Analgesic,Para-aminophenol,Small molecule,500 mg,Syrup,IV,Fever,General,Hepatotoxicity (overdose),A,No,OTC,0,1,1,0
178,Insulin Glargine,Glaritus,Novo Nordisk,Antidiabetic,Long-acting insulin,Biologic,100 IU/ml,Injection,Subcutaneous,Diabetes,Endocrine,Hypoglycemia,C,No,RX,1,1,1,0
179,Salbutamol,Salbu,GSK,Bronchodilator,Beta-2 agonist,Small molecule,4 mg,Inhaler,Inhalation,COPD,Respiratory,Palpitation,C,No,RX,0,0,1,0
180,Amlodipine,Amlogard,Renata,Antihypertensive,Calcium channel blocker,Small molecule,10 mg,Capsule,Oral,Coronary artery disease,Cardiovascular,Edema,C,No,RX,1,1,1,0
181,Amoxicillin + Clavulanate,Augmentin,Incepta,Antibiotic,Beta-lactam + Beta-lactamase inhibitor,Small molecule,625 mg,Syrup,Oral,Sinusitis,Infectious,Nausea,B,No,RX,0,0,2,1
182,Atorvastatin,Lipitor,Pfizer,Lipid-lowering,Statin,Small molecule,20 mg,Tablet,Oral,Hypercholesterolemia,Cardiovascular,Nausea,X,No,RX,1,1,1,0
183,Atorvastatin,Atocor,Pfizer,Lipid-lowering,Statin,Small molecule,40 mg,Tablet,Oral,Hypercholesterolemia,Cardiovascular,Nausea,X,No,RX,1,1,1,0
184,Omeprazole,Losectil,Square,Antacid,Proton pump inhibitor,Small molecule,40 mg,Injection,IV,Acid reflux,Gastrointestinal,Headache,C,No,OTC,1,0,1,0
185,Metformin,Obimet,Square,Antidiabetic,Biguanide,Small molecule,1000 mg,Capsule,Oral,Insulin resistance,Endocrine,Vomiting,B,No,RX,1,1,1,0
186,Azithromycin,Azit,Incepta,Antibiotic,Macrolide,Small molecule,500 mg,Tablet,Oral,Infection,Infectious,Vomiting,B,No,RX,0,0,1,0
187,Paracetamol,Napa,ACI,Analgesic,Para-aminophenol,Small molecule,1000 mg,Capsule,IV,Fever,General,Nausea,A,No,OTC,0,1,1,0
188,Atorvastatin,Lipitor,Beximco,Lipid-lowering,Statin,Small molecule,20 mg,Tablet,Oral,Cardiovascular disease prevention,Cardiovascular,Diarrhea,X,No,RX,1,1,1,0
189,Cetirizine,Zyrtec,ACI,Antihistamine,H1 antagonist,Small molecule,10 mg,Capsule,Oral,Allergy,General,Dry mouth,B,No,OTC,0,1,1,0
190,Azithromycin,Azithrin,ACI,Antibiotic,Macrolide,Small molecule,200 mg/5ml,Capsule,Oral,Respiratory infection,Infectious,Vomiting,B,No,RX,0,0,1,0
191,Losartan,Losartan-MSD,Square,Antihypertensive,ARB,Small molecule,25 mg,Tablet,Oral,Hypertension,Cardiovascular,Fatigue,D,No,RX,0,1,1,0
192,Amlodipine,Norvasc,Pfizer,Antihypertensive,Calcium channel blocker,Small molecule,5 mg,Tablet,Oral,Coronary artery disease,Cardiovascular,Dizziness,C,No,RX,1,1,1,0
193,Metformin,Glycomet,Beximco,Antidiabetic,Biguanide,Small molecule,1000 mg,Tablet,Oral,Insulin resistance,Endocrine,Nausea,B,No,RX,1,1,1,0
194,Salbutamol,Brodil,GSK,Bronchodilator,Beta-2 agonist,Small molecule,2 mg,Tablet,Inhalation,COPD,Respiratory,Headache,C,No,RX,0,0,1,0
195,Azithromycin,Azit,Pfizer,Antibiotic,Macrolide,Small molecule,250 mg,Tablet,Oral,Skin infection,Infectious,Abdominal pain,B,No,RX,0,0,1,0
196,Ciprofloxacin,Ciprosin,Incepta,Antibiotic,Fluoroquinolone,Small molecule,750 mg,Injection,Oral,Urinary tract infection,Infectious,Headache,C,No,RX,1,0,1,0
197,Lisinopril,Lisinace,Renata,Antihypertensive,ACE inhibitor,Small molecule,5 mg,Tablet,Oral,Post-MI,Cardiovascular,Dry cough,D,No,RX,0,1,1,0
198,Salbutamol,Ventolin,Incepta,Bronchodilator,Beta-2 agonist,Small molecule,4 mg,Inhaler,Oral,Bronchospasm,Respiratory,Tremor,C,No,RX,0,0,1,0
199,Atorvastatin,Storvas,Square,Lipid-lowering,Statin,Small molecule,20 mg,Tablet,Oral,Hypercholesterolemia,Cardiovascular,Myalgia,X,No,RX,1,1,1,0
200,Losartan,Losacar,Novartis,Antihypertensive,ARB,Small molecule,100 mg,Tablet,Oral,Diabetic nephropathy,Cardiovascular,Cough,D,No,RX,0,1,1,0
201,Atorvastatin,Atorin,Beximco,Lipid-lowering,Statin,Small molecule,80 mg,Tablet,Oral,Hypercholesterolemia,Cardiovascular,Diarrhea,X,No,RX,1,1,1,0
202,Amoxicillin + Clavulanate,Clavam,Incepta,Antibiotic,Beta-lactam + Beta-lactamase inhibitor,Small molecule,375 mg,Tablet,Oral,Sinusitis,Infectious,Rash,B,No,RX,0,0,2,1
203,Salbutamol,Brodil,Square,Bronchodilator,Beta-2 agonist,Small molecule,100 mcg/dose,Inhaler,Inhalation,COPD,Respiratory,Tachycardia,C,No,RX,0,0,1,0
204,Amlodipine,Norvasc,Renata,Antihypertensive,Calcium channel blocker,Small molecule,5 mg,Capsule,Oral,Angina,Cardiovascular,Edema,C,No,RX,1,1,1,0
205,Ibuprofen,Profen,ACI,Analgesic,NSAID,Small molecule,600 mg,Capsule,Oral,Pain,General,Headache,D,No,OTC,1,1,1,0
206,Cetirizine,Alatrol,Square,Antihistamine,H1 antagonist,Small molecule,5 mg,Capsule,Oral,Allergic rhinitis,General,Dry mouth,B,No,OTC,0,1,1,0
207,Losartan,Losatin,Novartis,Antihypertensive,ARB,Small molecule,25 mg,Tablet,Oral,Diabetic nephropathy,Cardiovascular,Hyperkalemia,D,No,RX,0,1,1,0
208,Paracetamol,Napa,ACI,Analgesic,Para-aminophenol,Small molecule,125 mg/5ml,Capsule,Oral,Pain,General,Hepatotoxicity (overdose),A,No,OTC,0,1,1,0
209,Insulin Glargine,Basalin,Incepta,Antidiabetic,Long-acting insulin,Biologic,100 IU/ml,Injection,Subcutaneous,Type 1 diabetes,Endocrine,Hypoglycemia,C,No,RX,1,1,1,0
210,Metformin,Obimet,Renata,Antidiabetic,Biguanide,Small molecule,1000 mg,Tablet,Oral,Insulin resistance,Endocrine,Abdominal pain,B,No,RX,1,1,1,0
211,Fluoxetine,Depzac,Beximco,Antidepressant,SSRI,Small molecule,10 mg,Capsule,Oral,Depression,Neurological,Dizziness,C,No,RX,0,1,1,0
212,Metformin,Obimet,ACI,Antidiabetic,Biguanide,Small molecule,1000 mg,Tablet,Oral,Insulin resistance,Endocrine,Abdominal pain,B,No,RX,1,1,1,0
213,Losartan,Cozaar,Square,Antihypertensive,ARB,Small molecule,25 mg,Tablet,Oral,Hypertension,Cardiovascular,Dizziness,D,No,RX,0,1,1,0
214,Azithromycin,Azit,Incepta,Antibiotic,Macrolide,Small molecule,500 mg,Capsule,Oral,Respiratory infection,Infectious,Abdominal pain,B,No,RX,0,0,1,0
215,Amoxicillin + Clavulanate,Augmentin,Incepta,Antibiotic,Beta-lactam + Beta-lactamase inhibitor,Small molecule,625 mg,Tablet,Oral,Sinusitis,Infectious,Rash,B,No,RX,0,0,2,1
216,Ibuprofen,Brufen,Incepta,Analgesic,NSAID,Small molecule,200 mg,Capsule,Oral,Fever,General,Headache,D,No,OTC,1,1,1,0
217,Salbutamol,Sultolin,Square,Bronchodilator,Beta-2 agonist,Small molecule,100 mcg/dose,Inhaler,Oral,Bronchospasm,Respiratory,Tachycardia,C,No,RX,0,0,1,0
218,Insulin Glargine,Lantus,Sanofi,Antidiabetic,Long-acting insulin,Biologic,100 IU/ml,Injection,Subcutaneous,Type 1 diabetes,Endocrine,Weight gain,C,No,RX,1,1,1,0
219,Amoxicillin + Clavulanate,Moxaclave,Incepta,Antibiotic,Beta-lactam + Beta-lactamase inhibitor,Small molecule,375 mg,Syrup,Oral,Respiratory infection,Infectious,Nausea,B,No,RX,0,0,2,1
220,Omeprazole,Prilosec,ACI,Antacid,Proton pump inhibitor,Small molecule,40 mg,Tablet,Oral,GERD,Gastrointestinal,Nausea,C,No,OTC,1,0,1,0
221,Omeprazole,Prilosec,AstraZeneca,Antacid,Proton pump inhibitor,Small molecule,20 mg,Tablet,Oral,Acid reflux,Gastrointestinal,Headache,C,No,OTC,1,0,1,0
222,Metformin,Obimet,Incepta,Antidiabetic,Biguanide,Small molecule,500 mg,Tablet,Oral,Insulin resistance,Endocrine,Abdominal pain,B,No,RX,1,1,1,0
223,Losartan,Cozaar,Square,Antihypertensive,ARB,Small molecule,100 mg,Tablet,Oral,Hypertension,Cardiovascular,Cough,D,No,RX,0,1,1,0
224,Fluoxetine,Prozac,Eli Lilly,Antidepressant,SSRI,Small molecule,20 mg,Tablet,Oral,Panic disorder,Neurological,Dizziness,C,No,RX,0,1,1,0
225,Paracetamol,Ace,Beximco,Analgesic,Para-aminophenol,Small molecule,125 mg/5ml,Tablet,Oral,Pain,General,Hepatotoxicity (overdose),A,No,OTC,0,1,1,0
226,Azithromycin,Azithrin,Pfizer,Antibiotic,Macrolide,Small molecule,250 mg,Syrup,Oral,Respiratory infection,Infectious,Nausea,B,No,RX,0,0,1,0
227,Losartan,Losartan-MSD,Square,Antihypertensive,ARB,Small molecule,100 mg,Tablet,Oral,Hypertension,Cardiovascular,Fatigue,D,No,RX,0,1,1,0
228,Omeprazole,Omepra,Square,Antacid,Proton pump inhibitor,Small molecule,20 mg,Capsule,Oral,GERD,Gastrointestinal,Nausea,C,No,OTC,1,0,1,0
229,Atorvastatin,Atorin,Renata,Lipid-lowering,Statin,Small molecule,80 mg,Tablet,Oral,Cardiovascular disease prevention,Cardiovascular,Nausea,X,No,RX,1,1,1,0
230,Ciprofloxacin,Bacquinor,Renata,Antibiotic,Fluoroquinolone,Small molecule,250 mg,Syrup,IV,Infection,Infectious,Diarrhea,C,No,RX,1,0,1,0
231,Salbutamol,Salbu,GSK,Bronchodilator,Beta-2 agonist,Small molecule,100 mcg/dose,Syrup,Inhalation,Bronchospasm,Respiratory,Palpitation,C,No,RX,0,0,1,0
232,Amlodipine,Amcard,Beximco,Antihypertensive,Calcium channel blocker,Small molecule,10 mg,Tablet,Oral,Angina,Cardiovascular,Edema,C,No,RX,1,1,1,0
233,Amlodipine,Amlogard,Pfizer,Antihypertensive,Calcium channel blocker,Small molecule,2.5 mg,Tablet,Oral,Angina,Cardiovascular,Headache,C,No,RX,1,1,1,0
234,Insulin Glargine,Lantus,Novo Nordisk,Antidiabetic,Long-acting insulin,Biologic,100 IU/ml,Injection,Subcutaneous,Diabetes,Endocrine,Weight gain,C,No,RX,1,1,1,0
235,Insulin Glargine,Basalin,Beximco,Antidiabetic,Long-acting insulin,Biologic,300 IU/ml,Injection,Subcutaneous,Type 2 diabetes,Endocrine,Weight gain,C,No,RX,1,1,1,0
236,Amlodipine,Amdocal,Renata,Antihypertensive,Calcium channel blocker,Small molecule,5 mg,Tablet,Oral,Angina,Cardiovascular,Headache,C,No,RX,1,1,1,0
237,Losartan,Cozaar,Square,Antihypertensive,ARB,Small molecule,100 mg,Tablet,Oral,Heart failure,Cardiovascular,Cough,D,No,RX,0,1,1,0
238,Azithromycin,Zimax,Square,Antibiotic,Macrolide,Small molecule,500 mg,Syrup,Oral,Respiratory infection,Infectious,Abdominal pain,B,No,RX,0,0,1,0
239,Lisinopril,Listril,Renata,Antihypertensive,ACE inhibitor,Small molecule,5 mg,Tablet,Oral,Hypertension,Cardiovascular,Headache,D,No,RX,0,1,1,0
240,Atorvastatin,Lipitor,Pfizer,Lipid-lowering,Statin,Small molecule,10 mg,Tablet,Oral,Hypercholesterolemia,Cardiovascular,Headache,X,No,RX,1,1,1,0
241,Metformin,Formet,Renata,Antidiabetic,Biguanide,Small molecule,850 mg,Capsule,Oral,Insulin resistance,Endocrine,Abdominal pain,B,No,RX,1,1,1,0
242,Atorvastatin,Storvas,Pfizer,Lipid-lowering,Statin,Small molecule,10 mg,Tablet,Oral,Hypercholesterolemia,Cardiovascular,Diarrhea,X,No,RX,1,1,1,0
243,Insulin Glargine,Lantus,Novo Nordisk,Antidiabetic,Long-acting insulin,Biologic,100 IU/ml,Injection,Subcutaneous,Type 1 diabetes,Endocrine,Injection site reaction,C,No,RX,1,1,1,0
244,Ibuprofen,Profen,Renata,Analgesic,NSAID,Small molecule,600 mg,Tablet,Oral,Fever,General,Nausea,D,No,OTC,1,1,1,0
245,Losartan,Losartan-MSD,Novartis,Antihypertensive,ARB,Small molecule,100 mg,Tablet,Oral,Diabetic nephropathy,Cardiovascular,Dizziness,D,No,RX,0,1,1,0
246,Paracetamol,Panadol,ACI,Analgesic,Para-aminophenol,Small molecule,500 mg,Syrup,Oral,Pain,General,Rash,A,No,OTC,0,1,1,0
247,Metformin,Glucophage,ACI,Antidiabetic,Biguanide,Small molecule,1000 mg,Tablet,Oral,Insulin resistance,Endocrine,Nausea,B,No,RX,1,1,1,0
248,Salbutamol,Salbu,GSK,Bronchodilator,Beta-2 agonist,Small molecule,4 mg,Tablet,Oral,Bronchospasm,Respiratory,Tachycardia,C,No,RX,0,0,1,0
249,Salbutamol,Sultolin,GSK,Bronchodilator,Beta-2 agonist,Small molecule,100 mcg/dose,Inhaler,Inhalation,Asthma,Respiratory,Tremor,C,No,RX,0,0,1,0
250,Fluoxetine,Prozac,Beximco,Antidepressant,SSRI,Small molecule,40 mg,Tablet,Oral,Depression,Neurological,Headache,C,No,RX,0,1,1,0
251,Azithromycin,Zimax,ACI,Antibiotic,Macrolide,Small molecule,500 mg,Tablet,Oral,Infection,Infectious,Abdominal pain,B,No,RX,0,0,1,0
252,Cetirizine,Cetrizin,Square,Antihistamine,H1 antagonist,Small molecule,10 mg,Capsule,Oral,Allergic rhinitis,General,Fatigue,B,No,OTC,0,1,1,0
253,Cetirizine,Zyrtec,Beximco,Antihistamine,H1 antagonist,Small molecule,10 mg,Syrup,Oral,Urticaria,General,Drowsiness,B,No,OTC,0,1,1,0
254,Ciprofloxacin,Flocin,Renata,Antibiotic,Fluoroquinolone,Small molecule,750 mg,Syrup,IV,Infection,Infectious,Nausea,C,No,RX,1,0,1,0
255,Atorvastatin,Lipitor,Beximco,Lipid-lowering,Statin,Small molecule,80 mg,Tablet,Oral,Cardiovascular disease prevention,Cardiovascular,Diarrhea,X,No,RX,1,1,1,0
256,Omeprazole,Losectil,ACI,Antacid,Proton pump inhibitor,Small molecule,10 mg,Capsule,IV,GERD,Gastrointestinal,Nausea,C,No,OTC,1,0,1,0
257,Cetirizine,Alatrol,Incepta,Antihistamine,H1 antagonist,Small molecule,10 mg,Syrup,Oral,Urticaria,General,Drowsiness,B,No,OTC,0,1,1,0
258,Azithromycin,Azit,Square,Antibiotic,Macrolide,Small molecule,500 mg,Tablet,Oral,Respiratory infection,Infectious,Nausea,B,No,RX,0,0,1,0
259,Fluoxetine,Depzac,Beximco,Antidepressant,SSRI,Small molecule,20 mg,Tablet,Oral,Panic disorder,Neurological,Insomnia,C,No,RX,0,1,1,0
260,Omeprazole,Losectil,ACI,Antacid,Proton pump inhibitor,Small molecule,20 mg,Capsule,IV,GERD,Gastrointestinal,Nausea,C,No,OTC,1,0,1,0
261,Ibuprofen,Profen,ACI,Analgesic,NSAID,Small molecule,400 mg,Capsule,Oral,Inflammation,General,Gastric irritation,D,No,OTC,1,1,1,0
262,Lisinopril,Listril,Merck,Antihypertensive,ACE inhibitor,Small molecule,10 mg,Tablet,Oral,Heart failure,Cardiovascular,Headache,D,No,RX,0,1,1,0
263,Azithromycin,Zimax,Square,Antibiotic,Macrolide,Small molecule,200 mg/5ml,Capsule,Oral,Infection,Infectious,Vomiting,B,No,RX,0,0,1,0
264,Atorvastatin,Storvas,Pfizer,Lipid-lowering,Statin,Small molecule,40 mg,Tablet,Oral,Hypercholesterolemia,Cardiovascular,Nausea,X,No,RX,1,1,1,0
265,Omeprazole,Seclo,Incepta,Antacid,Proton pump inhibitor,Small molecule,20 mg,Capsule,Oral,Peptic ulcer,Gastrointestinal,Nausea,C,No,OTC,1,0,1,0
266,Paracetamol,Ace,Incepta,Analgesic,Para-aminophenol,Small molecule,250 mg/5ml,Syrup,Oral,Fever,General,Rash,A,No,OTC,0,1,1,0
267,Amlodipine,Amlogard,Pfizer,Antihypertensive,Calcium channel blocker,Small molecule,2.5 mg,Tablet,Oral,Angina,Cardiovascular,Dizziness,C,No,RX,1,1,1,0
268,Atorvastatin,Storvas,Beximco,Lipid-lowering,Statin,Small molecule,80 mg,Tablet,Oral,Cardiovascular disease prevention,Cardiovascular,Nausea,X,No,RX,1,1,1,0
269,Metformin,Glucophage,Beximco,Antidiabetic,Biguanide,Small molecule,850 mg,Tablet,Oral,Diabetes,Endocrine,Diarrhea,B,No,RX,1,1,1,0
270,Atorvastatin,Storvas,Renata,Lipid-lowering,Statin,Small molecule,20 mg,Tablet,Oral,Hypercholesterolemia,Cardiovascular,Diarrhea,X,No,RX,1,1,1,0
271,Lisinopril,Prinivil,Renata,Antihypertensive,ACE inhibitor,Small molecule,20 mg,Tablet,Oral,Hypertension,Cardiovascular,Dizziness,D,No,RX,0,1,1,0
272,Salbutamol,Ventolin,GSK,Bronchodilator,Beta-2 agonist,Small molecule,100 mcg/dose,Tablet,Inhalation,COPD,Respiratory,Palpitation,C,No,RX,0,0,1,0
273,Amlodipine,Amlogard,Beximco,Antihypertensive,Calcium channel blocker,Small molecule,10 mg,Capsule,Oral,Coronary artery disease,Cardiovascular,Edema,C,No,RX,1,1,1,0
274,Fluoxetine,Depzac,Square,Antidepressant,SSRI,Small molecule,40 mg,Tablet,Oral,Panic disorder,Neurological,Insomnia,C,No,RX,0,1,1,0
275,Azithromycin,Zimax,Pfizer,Antibiotic,Macrolide,Small molecule,250 mg,Capsule,Oral,Skin infection,Infectious,Vomiting,B,No,RX,0,0,1,0
276,Omeprazole,Seclo,ACI,Antacid,Proton pump inhibitor,Small molecule,10 mg,Tablet,Oral,Acid reflux,Gastrointestinal,Diarrhea,C,No,OTC,1,0,1,0
277,Ciprofloxacin,Ciprosin,Incepta,Antibiotic,Fluoroquinolone,Small molecule,500 mg,Syrup,Oral,Urinary tract infection,Infectious,Nausea,C,No,RX,1,0,1,0
278,Azithromycin,Azit,ACI,Antibiotic,Macrolide,Small molecule,500 mg,Syrup,Oral,Respiratory infection,Infectious,Vomiting,B,No,RX,0,0,1,0
279,Cetirizine,Zyrtec,Square,Antihistamine,H1 antagonist,Small molecule,10 mg,Tablet,Oral,Allergy,General,Headache,B,No,OTC,0,1,1,0
280,Omeprazole,Seclo,AstraZeneca,Antacid,Proton pump inhibitor,Small molecule,40 mg,Capsule,IV,Acid reflux,Gastrointestinal,Nausea,C,No,OTC,1,0,1,0
281,Atorvastatin,Atorin,Renata,Lipid-lowering,Statin,Small molecule,10 mg,Tablet,Oral,Hypercholesterolemia,Cardiovascular,Diarrhea,X,No,RX,1,1,1,0
282,Fluoxetine,Prozac,Renata,Antidepressant,SSRI,Small molecule,10 mg,Capsule,Oral,Panic disorder,Neurological,Headache,C,No,RX,0,1,1,0
283,Omeprazole,Losectil,Square,Antacid,Proton pump inhibitor,Small molecule,10 mg,Capsule,IV,Acid reflux,Gastrointestinal,Nausea,C,No,OTC,1,0,1,0
284,Lisinopril,Lisinace,Square,Antihypertensive,ACE inhibitor,Small molecule,20 mg,Tablet,Oral,Hypertension,Cardiovascular,Headache,D,No,RX,0,1,1,0
285,Fluoxetine,Flutin,Square,Antidepressant,SSRI,Small molecule,10 mg,Capsule,Oral,Depression,Neurological,Dizziness,C,No,RX,0,1,1,0
286,Omeprazole,Omepra,ACI,Antacid,Proton pump inhibitor,Small molecule,20 mg,Tablet,Oral,Acid reflux,Gastrointestinal,Headache,C,No,OTC,1,0,1,0
287,Lisinopril,Lisinace,Renata,Antihypertensive,ACE inhibitor,Small molecule,10 mg,Tablet,Oral,Post-MI,Cardiovascular,Dry cough,D,No,RX,0,1,1,0
288,Fluoxetine,Prozac,Renata,Antidepressant,SSRI,Small molecule,10 mg,Tablet,Oral,OCD,Neurological,Headache,C,No,RX,0,1,1,0
289,Ibuprofen,Brufen,Renata,Analgesic,NSAID,Small molecule,400 mg,Syrup,Oral,Pain,General,Nausea,D,No,OTC,1,1,1,0
290,Cetirizine,Alatrol,Incepta,Antihistamine,H1 antagonist,Small molecule,10 mg,Tablet,Oral,Allergy,General,Dry mouth,B,No,OTC,0,1,1,0
291,Fluoxetine,Fluoxin,Eli Lilly,Antidepressant,SSRI,Small molecule,40 mg,Tablet,Oral,Depression,Neurological,Headache,C,No,RX,0,1,1,0
292,Losartan,Losatin,Square,Antihypertensive,ARB,Small molecule,50 mg,Tablet,Oral,Hypertension,Cardiovascular,Hyperkalemia,D,No,RX,0,1,1,0
293,Ciprofloxacin,Ciprosin,Renata,Antibiotic,Fluoroquinolone,Small molecule,250 mg,Tablet,IV,Infection,Infectious,Dizziness,C,No,RX,1,0,1,0
294,Cetirizine,Alatrol,Incepta,Antihistamine,H1 antagonist,Small molecule,5 mg,Capsule,Oral,Allergy,General,Headache,B,No,OTC,0,1,1,0
295,Ciprofloxacin,Flocin,Square,Antibiotic,Fluoroquinolone,Small molecule,750 mg,Syrup,Oral,Infection,Infectious,Nausea,C,No,RX,1,0,1,0
296,Ibuprofen,Brufen,Incepta,Analgesic,NSAID,Small molecule,400 mg,Syrup,Oral,Pain,General,Nausea,D,No,OTC,1,1,1,0
297,Salbutamol,Ventolin,Incepta,Bronchodilator,Beta-2 agonist,Small molecule,4 mg,Syrup,Inhalation,Asthma,Respiratory,Palpitation,C,No,RX,0,0,1,0
298,Azithromycin,Zimax,Pfizer,Antibiotic,Macrolide,Small molecule,200 mg/5ml,Capsule,Oral,Skin infection,Infectious,Diarrhea,B,No,RX,0,0,1,0
299,Amoxicillin + Clavulanate,Augmentin,Square,Antibiotic,Beta-lactam + Beta-lactamase inhibitor,Small molecule,625 mg,Syrup,Oral,Infection,Infectious,Vomiting,B,No,RX,0,0,2,1
300,Ibuprofen,Nurofen,Incepta,Analgesic,NSAID,Small molecule,400 mg,Syrup,Oral,Fever,General,Gastric irritation,D,No,OTC,1,1,1,0
301,Metformin,Glucophage,Beximco,Antidiabetic,Biguanide,Small molecule,850 mg,Tablet,Oral,Diabetes,Endocrine,Abdominal pain,B,No,RX,1,1,1,0
302,Losartan,Losartan-MSD,MSD,Antihypertensive,ARB,Small molecule,100 mg,Tablet,Oral,Hypertension,Cardiovascular,Fatigue,D,No,RX,0,1,1,0
303,Salbutamol,Sultolin,ACI,Bronchodilator,Beta-2 agonist,Small molecule,4 mg,Inhaler,Oral,COPD,Respiratory,Tachycardia,C,No,RX,0,0,1,0
304,Azithromycin,Zithromax,ACI,Antibiotic,Macrolide,Small molecule,250 mg,Capsule,Oral,Respiratory infection,Infectious,Diarrhea,B,No,RX,0,0,1,0
305,Lisinopril,Prinivil,AstraZeneca,Antihypertensive,ACE inhibitor,Small molecule,5 mg,Tablet,Oral,Post-MI,Cardiovascular,Hyperkalemia,D,No,RX,0,1,1,0
306,Ciprofloxacin,Bacquinor,Bayer,Antibiotic,Fluoroquinolone,Small molecule,250 mg,Injection,IV,Urinary tract infection,Infectious,Nausea,C,No,RX,1,0,1,0
307,Paracetamol,Panadol,Renata,Analgesic,Para-aminophenol,Small molecule,125 mg/5ml,Tablet,IV,Pain,General,Nausea,A,No,OTC,0,1,1,0
